iter	MultiClass
0	3.27087354
1	3.221596047
2	3.178508629
3	3.136055264
4	3.09702309
5	3.05956454
6	3.024315728
7	2.991829336
8	2.962795877
9	2.934904465
10	2.90854595
11	2.884060411
12	2.859425367
13	2.834934153
14	2.812426715
15	2.790110762
16	2.768206576
17	2.747837525
18	2.728195479
19	2.71035505
20	2.69113941
21	2.672928922
22	2.656345732
23	2.638181143
24	2.620994053
25	2.60533479
26	2.588986063
27	2.573840184
28	2.560185846
29	2.546376269
30	2.53373461
31	2.520783892
32	2.508262135
33	2.495883927
34	2.48344021
35	2.472028704
36	2.461631935
37	2.450882186
38	2.439242532
39	2.428053695
40	2.417493873
41	2.407864414
42	2.397600065
43	2.387524232
44	2.377849515
45	2.368476095
46	2.358691602
47	2.349095728
48	2.341278596
49	2.332590737
50	2.324293227
51	2.316258482
52	2.30833225
53	2.29982857
54	2.291393526
55	2.283530374
56	2.275364244
57	2.268141933
58	2.260976754
59	2.253564246
60	2.246387714
61	2.239384071
62	2.232639416
63	2.225800307
64	2.218741741
65	2.212729189
66	2.206130676
67	2.199509388
68	2.193356442
69	2.185244514
70	2.177063529
71	2.169116558
72	2.161684426
73	2.15403407
74	2.146377841
75	2.138795435
76	2.13204164
77	2.125557782
78	2.118906274
79	2.112167322
80	2.105637709
81	2.09913833
82	2.092745599
83	2.085926703
84	2.079830466
85	2.074022714
86	2.068045945
87	2.062308264
88	2.056299414
89	2.050471571
90	2.044966773
91	2.039366649
92	2.033624668
93	2.028304725
94	2.023335517
95	2.018405111
96	2.013458911
97	2.008731389
98	2.003620691
99	1.998383896
100	1.993307124
101	1.988135143
102	1.983778835
103	1.979212425
104	1.974365351
105	1.969889642
106	1.96530387
107	1.960873358
108	1.956484343
109	1.951954587
110	1.947730162
111	1.943197047
112	1.939510967
113	1.935427594
114	1.931081201
115	1.927186891
116	1.923301668
117	1.919252474
118	1.915352973
119	1.911534274
120	1.907886238
121	1.904272623
122	1.900944156
123	1.896993554
124	1.890983024
125	1.885609764
126	1.879777778
127	1.873768178
128	1.868276275
129	1.862566799
130	1.857311305
131	1.852017278
132	1.847083917
133	1.841904879
134	1.837234323
135	1.832274421
136	1.827506382
137	1.82275049
138	1.818317331
139	1.813811135
140	1.809280132
141	1.804984299
142	1.800884233
143	1.796349501
144	1.792345664
145	1.787874713
146	1.783916561
147	1.780150648
148	1.776395331
149	1.772250823
150	1.768325137
151	1.764397268
152	1.760473395
153	1.757067627
154	1.752999578
155	1.749889627
156	1.746254468
157	1.742821762
158	1.739841824
159	1.736463019
160	1.73303406
161	1.729844234
162	1.726452309
163	1.723219685
164	1.720180993
165	1.717406984
166	1.714192751
167	1.710941177
168	1.708228169
169	1.705486781
170	1.702421127
171	1.699474083
172	1.696476954
173	1.693719219
174	1.690786586
175	1.688354524
176	1.685536929
177	1.682905081
178	1.680734713
179	1.678283132
180	1.675751882
181	1.673197551
182	1.670492181
183	1.66803865
184	1.665638422
185	1.663209721
186	1.660645347
187	1.658571046
188	1.656145653
189	1.653681535
190	1.651411149
191	1.649541904
192	1.646986334
193	1.644845653
194	1.642960623
195	1.641138288
196	1.63918532
197	1.637180323
198	1.634941514
199	1.632819013
200	1.630788206
201	1.628907372
202	1.626612411
203	1.624323923
204	1.622201908
205	1.620302616
206	1.618572762
207	1.616837724
208	1.615388613
209	1.613550747
210	1.611777324
211	1.609719023
212	1.607903457
213	1.606580197
214	1.605138406
215	1.603477701
216	1.602135475
217	1.600327574
218	1.598517907
219	1.596609228
220	1.594718177
221	1.593026815
222	1.59141064
223	1.589722116
224	1.58801352
225	1.586305219
226	1.584804968
227	1.582969483
228	1.581447256
229	1.579952141
230	1.578413106
231	1.576602821
232	1.57478717
233	1.573229549
234	1.571738032
235	1.570303255
236	1.568962609
237	1.567329088
238	1.565712842
239	1.564024942
240	1.562288509
241	1.561018948
242	1.559780229
243	1.5586615
244	1.557218931
245	1.555814112
246	1.554454716
247	1.553038356
248	1.55188633
249	1.550546982
250	1.549241142
251	1.54813698
252	1.546742845
253	1.545697624
254	1.544458932
255	1.54338469
256	1.542281175
257	1.5411684
258	1.540310062
259	1.538878935
260	1.537753705
261	1.53632927
262	1.535037656
263	1.533606507
264	1.53201363
265	1.530979793
266	1.529584113
267	1.52843039
268	1.527143677
269	1.526181751
270	1.524909757
271	1.523866786
272	1.52277774
273	1.521707447
274	1.520599841
275	1.519650424
276	1.518606085
277	1.517592987
278	1.516746159
279	1.515736312
280	1.514768206
281	1.513659896
282	1.512364836
283	1.511062751
284	1.509888223
285	1.508443118
286	1.507523549
287	1.50653051
288	1.505871657
289	1.504728509
290	1.503832696
291	1.502596806
292	1.501667019
293	1.500665431
294	1.499772984
295	1.498881177
296	1.497824466
297	1.496769255
298	1.495861552
299	1.494959146
