iter	Passed	Remaining
0	12347	3691985
1	20316	3027162
2	27104	2683327
3	36345	2689565
4	42284	2494793
5	49496	2425350
6	56321	2357439
7	69952	2553264
8	77717	2512863
9	84043	2437256
10	93450	2455202
11	102290	2454962
12	109423	2415728
13	116177	2373341
14	127326	2419198
15	135776	2410024
16	143632	2391062
17	150548	2358591
18	157109	2323567
19	165046	2310656
20	173045	2299036
21	180684	2283192
22	188205	2266644
23	195227	2245112
24	203079	2233870
25	209983	2212898
26	218256	2206812
27	225980	2195238
28	234549	2191826
29	242738	2184648
30	249883	2168343
31	258442	2164454
32	266783	2158518
33	274404	2146811
34	282300	2137419
35	290594	2131028
36	297697	2116068
37	305360	2105378
38	311945	2087634
39	317987	2066918
40	324579	2050391
41	331364	2035527
42	339330	2028091
43	346156	2014004
44	352452	1997230
45	358139	1977551
46	364627	1962784
47	371010	1947805
48	377494	1933695
49	383938	1919690
50	390697	1907523
51	396638	1891661
52	402862	1877490
53	408470	1860810
54	416312	1854484
55	422613	1841389
56	429694	1831854
57	436242	1820184
58	442533	1807638
59	451580	1806321
60	458032	1794586
61	464578	1783380
62	471113	1772283
63	478404	1764116
64	485211	1754227
65	492073	1744624
66	498524	1733675
67	505576	1724909
68	512214	1714806
69	520324	1709636
70	528573	1704836
71	536057	1697514
72	542521	1687018
73	549951	1679580
74	556976	1670929
75	563695	1661417
76	570940	1653504
77	577337	1643191
78	584755	1635833
79	590676	1624359
80	598759	1618869
81	605401	1609481
82	612025	1600114
83	619535	1593092
84	626532	1584759
85	632867	1574810
86	639939	1566748
87	646101	1556516
88	653707	1549801
89	661265	1542952
90	668014	1534230
91	675176	1526484
92	680873	1515493
93	687417	1506468
94	694952	1499634
95	700871	1489351
96	707302	1480231
97	714526	1472799
98	719948	1461714
99	727909	1455819
100	735570	1449293
101	743072	1442434
102	749307	1433140
103	755216	1423291
104	762100	1415329
105	768474	1406453
106	775262	1398370
107	782081	1390366
108	787514	1379956
109	794490	1372302
110	800830	1363575
111	806989	1354589
112	814190	1347377
113	820953	1339449
114	829215	1333954
115	835270	1324911
116	842475	1317718
117	850322	1311513
118	859428	1307197
119	866447	1299670
120	874181	1293210
121	881414	1285997
122	889335	1279775
123	894864	1270130
124	900707	1260991
125	906762	1252196
126	912176	1242571
127	917837	1233344
128	923169	1223736
129	928741	1214507
130	935022	1206250
131	940561	1197077
132	946259	1188159
133	951943	1179272
134	958890	1171977
135	965048	1163735
136	970279	1154419
137	975351	1144978
138	982103	1137544
139	987340	1128389
140	992556	1119266
141	997867	1110303
142	1003632	1101890
143	1008469	1092508
144	1013898	1083822
145	1019072	1074912
146	1024807	1066636
147	1030391	1058240
148	1035819	1049723
149	1040929	1040929
150	1046723	1032859
151	1052142	1024454
152	1057944	1016456
153	1063497	1008250
154	1069248	1000264
155	1074969	992279
156	1080552	984197
157	1086158	976168
158	1091752	968157
159	1097263	960105
160	1102773	952084
161	1108722	944467
162	1114381	936627
163	1120462	929164
164	1126475	921661
165	1133070	914647
166	1138687	906858
167	1145391	899950
168	1150135	891524
169	1157824	885395
170	1163137	877454
171	1168826	869824
172	1174561	862250
173	1180082	854542
174	1186326	847375
175	1192082	839876
176	1197764	832344
177	1203863	825120
178	1210205	818071
179	1215952	810634
180	1221957	803386
181	1230428	797750
182	1235920	790178
183	1242545	783343
184	1248158	775882
185	1255148	769284
186	1260252	761542
187	1268160	755500
188	1274645	748601
189	1281289	741799
190	1287000	734466
191	1293521	727605
192	1299774	720600
193	1305337	713225
194	1312029	706477
195	1317458	699059
196	1323099	691773
197	1329056	684665
198	1334403	677260
199	1341052	670526
200	1347563	663725
201	1353415	656607
202	1363231	651396
203	1369628	644531
204	1376466	637874
205	1382756	630966
206	1388280	623720
207	1395102	617064
208	1401720	610318
209	1409072	603888
210	1414561	596663
211	1419993	589431
212	1426377	582605
213	1433520	576087
214	1439986	569297
215	1447251	562819
216	1453797	556060
217	1460180	549242
218	1465887	542177
219	1471572	535117
220	1477938	528312
221	1485388	521893
222	1494116	515905
223	1500571	509122
224	1507798	502599
225	1513112	495444
226	1522488	489610
227	1529098	482873
228	1535665	476123
229	1542041	469317
230	1548705	462600
231	1557083	456386
232	1566527	450460
233	1575139	444270
234	1582352	437671
235	1589773	431125
236	1597032	424527
237	1604220	417906
238	1611510	411306
239	1617557	404389
240	1623858	397542
241	1630125	390691
242	1636887	383961
243	1644001	377311
244	1649501	370296
245	1656984	363728
246	1662296	356687
247	1668065	349755
248	1674486	342967
249	1680386	336077
250	1687743	329479
251	1694775	322814
252	1700363	315877
253	1707613	309252
254	1714765	302605
255	1722840	296113
256	1730449	289530
257	1738085	282944
258	1746103	276410
259	1755234	270036
260	1761760	263251
261	1769068	256582
262	1775820	249830
263	1781492	242930
264	1787928	236141
265	1795707	229526
266	1803732	222933
267	1810516	216181
268	1817999	209509
269	1825615	202846
270	1833629	196218
271	1838948	189303
272	1847393	182709
273	1854804	176003
274	1864131	169466
275	1870691	162668
276	1875972	155766
277	1881788	148918
278	1888422	142139
279	1895798	135414
280	1903352	128696
281	1913275	122123
282	1920493	115365
283	1930694	108771
284	1937351	101965
285	1946080	95262
286	1953251	88474
287	1961200	81716
288	1967028	74869
289	1976333	68149
290	1984231	61367
291	1991141	54551
292	1998566	47747
293	2007284	40964
294	2014360	34141
295	2021557	27318
296	2030717	20512
297	2037348	13673
298	2043039	6832
299	2049706	0
